total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shoot_home,passes_needed_to_make_a_shoot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,winning_team
20,11,0.35,0.36363636363636365,13.183901489989767,24.245070730574493,5,0,14,5,0.7,0.45454545454545453,18,10,2,1,0,0,712,328,0.875,0.7530487804878049,12,8,35.6,29.818181818181817,19,6,0.21052631578947367,0.3333333333333333,4,4,1,14,0,0,16,19,11,13,15,16,0.7333333333333333,0.8125,7,20,0,0,8,19,0,2,1,1,11,16,0,1,0,0,home_team
10,18,0.4,0.3333333333333333,16.18659985658339,16.340771710219013,3,2,6,9,0.6,0.5,7,15,3,3,0,0,473,428,0.7463002114164905,0.7663551401869159,5,9,47.3,23.77777777777778,16,6,0.375,0.3333333333333333,7,6,11,7,0,0,17,17,12,9,22,16,0.5454545454545454,0.5625,17,17,0,0,17,28,1,0,0,0,11,10,2,3,1,0,away_team
12,10,0.16666666666666666,0.4,15.770169034452955,13.536282379186174,0,1,7,8,0.5833333333333334,0.8,8,8,4,2,0,0,524,386,0.7538167938931297,0.6113989637305699,8,6,43.666666666666664,38.6,22,10,0.3181818181818182,0.4,4,7,8,9,0,0,22,27,4,10,9,24,0.4444444444444444,0.4166666666666667,14,24,0,0,30,27,0,0,0,0,19,17,2,5,0,0,draw
18,6,0.3333333333333333,0.3333333333333333,16.080931225901498,21.333626562976143,4,1,12,3,0.6666666666666666,0.5,15,5,3,1,0,0,537,335,0.7839851024208566,0.6268656716417911,16,5,29.833333333333332,55.833333333333336,26,6,0.38461538461538464,0.0,4,4,5,9,1,0,11,14,9,13,12,22,0.75,0.5909090909090909,15,19,0,0,28,24,0,1,1,0,11,10,2,3,0,0,home_team
11,6,0.2727272727272727,0.3333333333333333,11.831093020337581,27.858622776134233,1,1,4,3,0.36363636363636365,0.5,10,6,1,0,0,0,543,472,0.8195211786372008,0.7733050847457628,8,4,49.36363636363637,78.66666666666667,15,5,0.2,0.0,6,1,7,8,0,1,15,10,17,12,32,22,0.53125,0.5454545454545454,17,12,0,0,23,9,0,0,1,0,13,7,3,2,0,0,home_team
19,10,0.2631578947368421,0.4,14.193922917630758,13.957680951632607,2,1,13,5,0.6842105263157895,0.5,16,8,3,2,0,0,401,425,0.7630922693266833,0.7717647058823529,13,7,21.105263157894736,42.5,11,7,0.45454545454545453,0.42857142857142855,7,6,7,7,0,0,13,23,19,10,26,25,0.7307692307692307,0.4,21,17,0,0,15,22,0,0,1,1,12,11,5,7,0,0,home_team
19,18,0.2631578947368421,0.3888888888888889,17.688195912458582,15.657676921755089,5,3,11,15,0.5789473684210527,0.8333333333333334,19,15,0,3,0,0,414,517,0.7584541062801933,0.7969052224371374,18,16,21.789473684210527,28.72222222222222,9,6,0.5555555555555556,0.3333333333333333,5,10,9,1,0,1,16,16,21,15,30,21,0.7,0.7142857142857143,19,4,0,0,25,12,0,0,0,1,6,11,2,2,0,0,home_team
13,22,0.38461538461538464,0.2727272727272727,16.513188659023207,13.070551631617592,1,3,10,14,0.7692307692307693,0.6363636363636364,8,18,5,4,0,0,472,602,0.7817796610169492,0.8355481727574751,10,17,36.30769230769231,27.363636363636363,18,11,0.5,0.7272727272727273,6,8,9,15,0,0,26,14,11,13,14,24,0.7857142857142857,0.5416666666666666,20,10,0,0,9,19,0,0,1,0,14,16,4,3,0,0,away_team
12,16,0.3333333333333333,0.1875,16.498199929258572,12.26499853320616,1,2,5,14,0.4166666666666667,0.875,10,10,2,6,0,0,401,496,0.6683291770573566,0.7217741935483871,8,13,33.416666666666664,31.0,11,14,0.36363636363636365,0.5714285714285714,4,5,9,5,0,0,19,15,14,12,21,21,0.6666666666666666,0.5714285714285714,13,15,0,1,19,20,0,0,0,0,17,14,3,4,0,0,home_team
11,8,0.09090909090909091,0.625,23.527430798963152,12.032179886093452,0,3,2,7,0.18181818181818182,0.875,10,7,1,1,0,0,444,439,0.6891891891891891,0.683371298405467,9,6,40.36363636363637,54.875,19,4,0.05263157894736842,0.75,4,3,2,10,0,0,12,22,16,12,23,20,0.6956521739130435,0.6,22,19,0,0,30,26,0,0,1,0,14,16,5,4,0,0,away_team
15,9,0.26666666666666666,0.3333333333333333,31.288800869833995,19.192338119260548,0,1,8,7,0.5333333333333333,0.7777777777777778,12,8,3,1,0,0,558,385,0.7311827956989247,0.6623376623376623,12,9,37.2,42.77777777777778,19,9,0.2631578947368421,0.2222222222222222,8,5,7,5,0,0,16,23,9,11,16,20,0.5625,0.55,20,16,0,0,12,37,0,0,0,0,21,16,2,3,0,0,away_team
9,9,0.3333333333333333,0.3333333333333333,21.12550961029741,26.117952350522092,2,0,6,3,0.6666666666666666,0.3333333333333333,8,9,1,0,0,0,561,377,0.7789661319073083,0.6949602122015915,5,8,62.333333333333336,41.888888888888886,14,8,0.42857142857142855,0.125,3,4,7,9,0,0,9,18,12,14,20,20,0.6,0.7,14,29,0,0,17,22,0,0,0,0,10,12,3,5,0,0,away_team
19,13,0.42105263157894735,0.38461538461538464,16.764581391734023,19.82557232466435,3,2,13,6,0.6842105263157895,0.46153846153846156,13,11,6,2,0,0,564,449,0.7978723404255319,0.799554565701559,15,11,29.68421052631579,34.53846153846154,20,7,0.25,0.5714285714285714,10,4,16,7,0,0,13,16,14,8,29,12,0.4827586206896552,0.6666666666666666,14,12,0,0,11,32,0,0,1,0,13,12,1,1,0,0,away_team
14,7,0.35714285714285715,0.42857142857142855,18.6400686257801,26.013489731440373,1,1,8,3,0.5714285714285714,0.42857142857142855,14,6,0,1,0,0,463,486,0.7883369330453563,0.8127572016460906,7,6,33.07142857142857,69.42857142857143,15,13,0.13333333333333333,0.3076923076923077,7,5,9,8,0,0,18,17,13,6,23,12,0.5652173913043478,0.5,13,14,0,0,20,23,0,0,0,0,12,14,4,5,0,0,home_team
16,10,0.375,0.6,19.091219610899373,24.467865548976537,3,0,9,6,0.5625,0.6,14,9,1,1,1,0,658,343,0.8617021276595744,0.7201166180758017,12,9,41.125,34.3,15,4,0.3333333333333333,0.0,3,4,9,3,1,0,14,9,12,22,22,24,0.5454545454545454,0.9166666666666666,12,26,0,0,15,27,0,1,0,0,12,10,2,4,0,0,home_team
